SER,PROVINCE,CONSTITUENCY,WINNING CANDIDATE,SEX,PARTY
70,Mashonaland Central,Guruve North,Dzepasi Girovah,M,ZANU PF
71,Mashonaland Central,Guruve South,Dutiro Patrick,M,ZANU PF
72,Mashonaland Central,Mazowe Central,Chidamba Sydney,M,ZANU PF
73,Mashonaland Central,Mazowe North,Mugweni Campion Takura,M,ZANU PF
74,Mashonaland Central,Mazowe South,Chasi Fortune,M,ZANU PF
75,Mashonaland Central,Mazowe West,Kazembe Kazembe,M,ZANU PF
76,Mashonaland Central,Mbire,Karoro Douglas,M,ZANU PF
77,Mashonaland Central,Mt Darwin East,Marikisi Norman,M,ZANU PF
78,Mashonaland Central,Mt Darwin North,Muponora Noveti,M,ZANU PF
79,Mashonaland Central,Mt Darwin South,Kabozo Stephen,M,ZANU PF
80,Mashonaland Central,Mt Darwin West,Seremwe Bannwell,M,ZANU PF
81,Mashonaland Central,Muzarabani North,Zhemu Soda,M,ZANU PF
82,Mashonaland Central,Muzarabani South,Tapera Saizi,M,ZANU PF
83,Mashonaland Central,Rushinga,Nyabani Tendai,M,ZANU PF
84,Mashonaland Central,Shamva North,Gorerino Oscar,M,ZANU PF
85,Mashonaland Central,Shamva South,Bushu Bramwell,M,ZANU PF
86,Mashonaland East,Chikomba Central,Mhona Felix Tapiwa,M,ZANU PF
87,Mashonaland East,Chikomba East,Kanhutu Irene Nzenza,F,ZANU PF
88,Mashonaland East,Chikomba West,Mangwiro John Chamunorwa,M,ZANU PF
89,Mashonaland East,Goromonzi North,Bvute Ozias,M,ZANU PF
90,Mashonaland East,Goromonzi South,Chikudo Rueben,M,MDC- Alliance
91,Mashonaland East,Goromonzi West,Mutodi Energy,M,ZANU PF
92,Mashonaland East,Maramba Pfungwe,Karumazondo Makuwi Tichawona,M,ZANU PF
